"invoice_id","product_line","unit_price","classeUnitPrice"
"803-83-5989","Home and lifestyle","55.73","preço unitário alto"
"347-34-2234","Sports and travel","55.07","preço unitário alto"
"199-75-8169","Sports and travel","15.81","preço unitário baixo"
"853-23-2453","Health and beauty","75.74","preço unitário alto"
"877-22-3308","Health and beauty","15.87","preço unitário baixo"
"838-78-4295","Health and beauty","33.47","preço unitário baixo"
"109-28-2512","Fashion accessories","97.61","preço unitário alto"
"232-11-3025","Sports and travel","78.77","preço unitário alto"
"382-03-4532","Health and beauty","18.33","preço unitário baixo"
"393-65-2792","Food and beverages","89.48","preço unitário alto"
"796-12-2025","Fashion accessories","62.12","preço unitário alto"
"510-95-6347","Food and beverages","48.52","preço unitário baixo"
"841-35-6630","Electronic accessories","75.91","preço unitário alto"
"287-21-9091","Home and lifestyle","74.67","preço unitário alto"
"732-94-0499","Electronic accessories","41.65","preço unitário baixo"
"263-10-3913","Fashion accessories","49.04","preço unitário baixo"
"381-20-0914","Fashion accessories","20.01","preço unitário baixo"
"829-49-1914","Food and beverages","78.31","preço unitário alto"
"756-01-7507","Health and beauty","20.38","preço unitário baixo"
"870-72-4431","Health and beauty","99.19","preço unitário alto"
"847-38-7188","Food and beverages","96.68","preço unitário alto"
"480-63-2856","Food and beverages","19.25","preço unitário baixo"
"787-56-0757","Food and beverages","80.36","preço unitário alto"
"360-39-5055","Sports and travel","48.91","preço unitário baixo"
"730-50-9884","Sports and travel","83.06","preço unitário alto"
"362-58-8315","Fashion accessories","76.52","preço unitário alto"
"633-44-8566","Food and beverages","49.38","preço unitário baixo"
"504-35-8843","Sports and travel","42.47","preço unitário baixo"
"318-68-5053","Health and beauty","76.99","preço unitário alto"
"565-80-5980","Home and lifestyle","47.38","preço unitário baixo"
"225-32-0908","Sports and travel","44.86","preço unitário baixo"
"873-51-0671","Sports and travel","21.98","preço unitário baixo"
"152-08-9985","Health and beauty","64.36","preço unitário alto"
"512-91-0811","Health and beauty","89.75","preço unitário alto"
"594-34-4444","Electronic accessories","97.16","preço unitário alto"
"766-85-7061","Health and beauty","87.87","preço unitário alto"
"871-39-9221","Electronic accessories","12.45","preço unitário baixo"
"865-92-6136","Food and beverages","52.75","preço unitário alto"
"733-01-9107","Home and lifestyle","82.7","preço unitário alto"
"163-56-7055","Fashion accessories","48.71","preço unitário baixo"
"189-98-2939","Fashion accessories","78.55","preço unitário alto"
"551-21-3069","Electronic accessories","23.07","preço unitário baixo"
"212-62-1842","Food and beverages","58.26","preço unitário alto"
"716-39-1409","Health and beauty","30.35","preço unitário baixo"
"704-48-3927","Electronic accessories","88.67","preço unitário alto"
"628-34-3388","Fashion accessories","27.38","preço unitário baixo"
"630-74-5166","Sports and travel","62.13","preço unitário alto"
"588-01-7461","Food and beverages","33.98","preço unitário baixo"
"861-77-0145","Electronic accessories","81.97","preço unitário alto"
"479-26-8945","Sports and travel","16.49","preço unitário baixo"
"210-67-5886","Health and beauty","98.21","preço unitário alto"
"227-78-1148","Fashion accessories","72.84","preço unitário alto"
"645-44-1170","Home and lifestyle","58.07","preço unitário alto"
"237-01-6122","Home and lifestyle","80.79","preço unitário alto"
"225-98-1496","Fashion accessories","27.02","preço unitário baixo"
"291-32-1427","Fashion accessories","21.94","preço unitário baixo"
"659-65-8956","Fashion accessories","51.36","preço unitário alto"
"642-32-2990","Food and beverages","10.96","preço unitário baixo"
"378-24-2715","Home and lifestyle","53.44","preço unitário alto"
"638-60-7125","Electronic accessories","99.56","preço unitário alto"
"659-36-1684","Sports and travel","57.12","preço unitário alto"
"219-22-9386","Sports and travel","99.96","preço unitário alto"
"336-78-2147","Home and lifestyle","63.91","preço unitário alto"
"268-27-6179","Fashion accessories","56.47","preço unitário alto"
"668-90-8900","Home and lifestyle","93.69","preço unitário alto"
"870-54-3162","Sports and travel","32.25","preço unitário baixo"
"189-08-9157","Fashion accessories","31.73","preço unitário baixo"
"663-86-9076","Food and beverages","68.54","preço unitário alto"
"549-84-7482","Sports and travel","90.28","preço unitário alto"
"191-10-6171","Fashion accessories","39.62","preço unitário baixo"
"802-70-5316","Sports and travel","92.13","preço unitário alto"
"695-51-0018","Sports and travel","34.84","preço unitário baixo"
"590-83-4591","Electronic accessories","87.45","preço unitário alto"
"483-71-1164","Health and beauty","81.3","preço unitário alto"
"597-78-7908","Fashion accessories","90.22","preço unitário alto"
"700-81-1757","Electronic accessories","26.31","preço unitário baixo"
"354-39-5160","Home and lifestyle","34.42","preço unitário baixo"
"241-72-9525","Sports and travel","51.91","preço unitário alto"
"575-30-8091","Sports and travel","72.5","preço unitário alto"
"731-81-9469","Sports and travel","89.8","preço unitário alto"
"280-17-4359","Health and beauty","90.5","preço unitário alto"
"338-65-2210","Health and beauty","68.6","preço unitário alto"
"488-25-4221","Food and beverages","30.41","preço unitário baixo"
"239-10-7476","Home and lifestyle","77.95","preço unitário alto"
"458-41-1477","Health and beauty","46.26","preço unitário baixo"
"685-64-1609","Fashion accessories","30.14","preço unitário baixo"
"568-90-5112","Health and beauty","66.14","preço unitário alto"
"262-47-2794","Home and lifestyle","71.86","preço unitário alto"
"238-49-0436","Health and beauty","32.46","preço unitário baixo"
"608-96-3517","Fashion accessories","91.54","preço unitário alto"
"584-86-7256","Sports and travel","34.56","preço unitário baixo"
"746-94-0204","Fashion accessories","83.24","preço unitário alto"
"214-17-6927","Food and beverages","16.48","preço unitário baixo"
"400-89-4171","Sports and travel","80.97","preço unitário alto"
"782-95-9291","Food and beverages","92.29","preço unitário alto"
"279-74-2924","Electronic accessories","72.17","preço unitário alto"
"307-85-2293","Home and lifestyle","50.28","preço unitário alto"
"743-04-1105","Health and beauty","97.22","preço unitário alto"
"423-57-2993","Sports and travel","93.39","preço unitário alto"
"894-41-5205","Food and beverages","43.18","preço unitário baixo"
"275-28-0149","Sports and travel","63.69","preço unitário alto"
"101-17-6199","Food and beverages","45.79","preço unitário baixo"
"423-80-0988","Sports and travel","76.4","preço unitário alto"
"548-46-9322","Food and beverages","39.9","preço unitário baixo"
"505-02-0892","Health and beauty","42.57","preço unitário baixo"
"234-65-2137","Home and lifestyle","95.58","preço unitário alto"
"687-47-8271","Fashion accessories","98.98","preço unitário alto"
"796-32-9050","Food and beverages","51.28","preço unitário alto"
"105-31-1824","Sports and travel","69.52","preço unitário alto"
"249-42-3782","Health and beauty","70.01","preço unitário alto"
"316-55-4634","Food and beverages","80.05","preço unitário alto"
"733-33-4967","Electronic accessories","20.85","preço unitário baixo"
"608-27-6295","Electronic accessories","52.89","preço unitário alto"
"414-12-7047","Food and beverages","19.79","preço unitário baixo"
"827-26-2100","Home and lifestyle","33.84","preço unitário baixo"
"175-54-2529","Food and beverages","22.17","preço unitário baixo"
"139-52-2867","Fashion accessories","22.51","preço unitário baixo"
"407-63-8975","Food and beverages","73.88","preço unitário alto"
"342-65-4817","Health and beauty","86.8","preço unitário alto"
"130-98-8941","Fashion accessories","64.26","preço unitário alto"
"434-83-9547","Food and beverages","38.47","preço unitário baixo"
"851-28-6367","Sports and travel","15.5","preço unitário baixo"
"824-88-3614","Health and beauty","34.31","preço unitário baixo"
"586-25-0848","Sports and travel","12.34","preço unitário baixo"
"895-66-0685","Food and beverages","18.08","preço unitário baixo"
"305-14-0245","Home and lifestyle","94.49","preço unitário alto"
"732-04-5373","Home and lifestyle","46.47","preço unitário baixo"
"400-60-7251","Home and lifestyle","74.07","preço unitário alto"
"593-65-1552","Home and lifestyle","69.81","preço unitário alto"
"284-34-9626","Home and lifestyle","77.04","preço unitário alto"
"437-58-8131","Fashion accessories","73.52","preço unitário alto"
"286-43-6208","Food and beverages","87.8","preço unitário alto"
"641-43-2399","Home and lifestyle","25.55","preço unitário baixo"
"831-07-6050","Electronic accessories","32.71","preço unitário baixo"
"556-86-3144","Fashion accessories","74.29","preço unitário alto"
"848-24-9445","Health and beauty","43.7","preço unitário baixo"
"856-22-8149","Home and lifestyle","25.29","preço unitário baixo"
"699-01-4164","Health and beauty","41.5","preço unitário baixo"
"420-11-4919","Food and beverages","71.39","preço unitário alto"
"606-80-4905","Sports and travel","19.15","preço unitário baixo"
"542-41-0513","Electronic accessories","57.49","preço unitário alto"
"426-39-2418","Electronic accessories","61.41","preço unitário alto"
"875-46-5808","Health and beauty","25.9","preço unitário baixo"
"394-43-4238","Home and lifestyle","17.77","preço unitário baixo"
"749-24-1565","Health and beauty","23.03","preço unitário baixo"
"672-51-8681","Electronic accessories","66.65","preço unitário alto"
"263-87-5680","Home and lifestyle","28.53","preço unitário baixo"
"573-58-9734","Fashion accessories","30.37","preço unitário baixo"
"817-69-8206","Electronic accessories","99.73","preço unitário alto"
"888-02-0338","Electronic accessories","26.23","preço unitário baixo"
"677-11-0152","Food and beverages","93.26","preço unitário alto"
"142-63-6033","Home and lifestyle","92.36","preço unitário alto"
"656-16-1063","Sports and travel","46.42","preço unitário baixo"
"891-58-8335","Sports and travel","29.61","preço unitário baixo"
"802-43-8934","Home and lifestyle","18.28","preço unitário baixo"
"560-30-5617","Sports and travel","24.77","preço unitário baixo"
"319-74-2561","Electronic accessories","94.64","preço unitário alto"
"549-03-9315","Fashion accessories","94.87","preço unitário alto"
"790-29-1172","Food and beverages","57.34","preço unitário alto"
"239-36-3640","Electronic accessories","45.35","preço unitário baixo"
"468-01-2051","Food and beverages","62.08","preço unitário alto"
"389-25-3394","Electronic accessories","11.81","preço unitário baixo"
"279-62-1445","Fashion accessories","12.54","preço unitário baixo"
"213-72-6612","Food and beverages","43.25","preço unitário baixo"
"746-68-6593","Sports and travel","87.16","preço unitário alto"
"836-82-5858","Health and beauty","69.37","preço unitário alto"
"583-72-1480","Electronic accessories","37.06","preço unitário baixo"
"466-61-5506","Electronic accessories","90.7","preço unitário alto"
"721-86-6247","Home and lifestyle","63.42","preço unitário alto"
"289-65-5721","Fashion accessories","81.37","preço unitário alto"
"545-46-3100","Electronic accessories","10.59","preço unitário baixo"
"418-02-5978","Health and beauty","84.09","preço unitário alto"
"269-04-5750","Fashion accessories","73.82","preço unitário alto"
"157-13-5295","Health and beauty","51.94","preço unitário alto"
"645-78-8093","Sports and travel","93.14","preço unitário alto"
"211-30-9270","Health and beauty","17.41","preço unitário baixo"
"755-12-3214","Fashion accessories","44.22","preço unitário baixo"
"346-84-3103","Electronic accessories","13.22","preço unitário baixo"
"478-06-7835","Fashion accessories","89.69","preço unitário alto"
"540-11-4336","Food and beverages","24.94","preço unitário baixo"
"448-81-5016","Health and beauty","59.77","preço unitário alto"
"142-72-4741","Fashion accessories","93.2","preço unitário alto"
"217-58-1179","Home and lifestyle","62.65","preço unitário alto"
"376-02-8238","Home and lifestyle","93.87","preço unitário alto"
"530-90-9855","Home and lifestyle","47.59","preço unitário baixo"
"866-05-7563","Electronic accessories","81.4","preço unitário alto"
"604-70-6476","Fashion accessories","17.94","preço unitário baixo"
"799-71-1548","Electronic accessories","77.72","preço unitário alto"
"785-13-7708","Food and beverages","73.06","preço unitário alto"
"845-51-0542","Food and beverages","46.55","preço unitário baixo"
"662-47-5456","Fashion accessories","35.19","preço unitário baixo"
"883-17-4236","Sports and travel","14.39","preço unitário baixo"
"290-68-2984","Home and lifestyle","23.75","preço unitário baixo"
"704-11-6354","Home and lifestyle","58.9","preço unitário alto"
"110-48-7033","Fashion accessories","32.62","preço unitário baixo"
"366-93-0948","Electronic accessories","66.35","preço unitário alto"
"729-09-9681","Home and lifestyle","25.91","preço unitário baixo"
"151-16-1484","Electronic accessories","32.25","preço unitário baixo"
"380-94-4661","Electronic accessories","65.94","preço unitário alto"
"850-41-9669","Electronic accessories","75.06","preço unitário alto"
"821-07-3596","Fashion accessories","16.45","preço unitário baixo"
"655-85-5130","Fashion accessories","38.3","preço unitário baixo"
"447-15-7839","Sports and travel","22.24","preço unitário baixo"
"154-74-7179","Sports and travel","54.45","preço unitário alto"
"253-12-6086","Sports and travel","98.4","preço unitário alto"
"808-65-0703","Home and lifestyle","35.47","preço unitário baixo"
"571-94-0759","Food and beverages","74.6","preço unitário alto"
"144-51-6085","Home and lifestyle","70.74","preço unitário alto"
"731-14-2199","Home and lifestyle","35.54","preço unitário baixo"
"783-09-1637","Sports and travel","67.43","preço unitário alto"
"687-15-1097","Health and beauty","21.12","preço unitário baixo"
"126-54-1082","Home and lifestyle","21.54","preço unitário baixo"
"633-91-1052","Home and lifestyle","12.03","preço unitário baixo"
"477-24-6490","Health and beauty","99.71","preço unitário alto"
"566-19-5475","Fashion accessories","47.97","preço unitário baixo"
"526-86-8552","Home and lifestyle","21.82","preço unitário baixo"
"376-56-3573","Fashion accessories","95.42","preço unitário alto"
"537-72-0426","Fashion accessories","70.99","preço unitário alto"
"828-61-5674","Sports and travel","44.02","preço unitário baixo"
"136-08-6195","Home and lifestyle","69.96","preço unitário alto"
"523-38-0215","Home and lifestyle","37.0","preço unitário baixo"
"490-29-1201","Sports and travel","15.34","preço unitário baixo"
"667-92-0055","Health and beauty","99.83","preço unitário alto"
"565-17-3836","Health and beauty","47.67","preço unitário baixo"
"498-41-1961","Health and beauty","66.68","preço unitário alto"
"593-95-4461","Home and lifestyle","74.86","preço unitário alto"
"226-71-3580","Sports and travel","23.75","preço unitário baixo"
"283-79-9594","Food and beverages","48.51","preço unitário baixo"
"430-60-3493","Home and lifestyle","94.88","preço unitário alto"
"139-20-0155","Electronic accessories","40.3","preço unitário baixo"
"558-80-4082","Electronic accessories","27.85","preço unitário baixo"
"278-97-7759","Electronic accessories","62.48","preço unitário alto"
"316-68-6352","Food and beverages","36.36","preço unitário baixo"
"585-03-5943","Health and beauty","18.11","preço unitário baixo"
"211-05-0490","Electronic accessories","51.92","preço unitário alto"
"727-75-6477","Electronic accessories","28.84","preço unitário baixo"
"744-02-5987","Home and lifestyle","78.38","preço unitário alto"
"307-83-9164","Home and lifestyle","60.01","preço unitário alto"
"779-06-0012","Home and lifestyle","88.61","preço unitário alto"
"446-47-6729","Fashion accessories","99.82","preço unitário alto"
"573-10-3877","Health and beauty","39.01","preço unitário baixo"
"735-06-4124","Food and beverages","48.61","preço unitário baixo"
"439-54-7422","Electronic accessories","51.19","preço unitário alto"
"396-90-2219","Electronic accessories","14.96","preço unitário baixo"
"411-77-0180","Electronic accessories","72.2","preço unitário alto"
"286-01-5402","Sports and travel","40.23","preço unitário baixo"
"803-17-8013","Home and lifestyle","88.79","preço unitário alto"
"512-98-1403","Electronic accessories","26.48","preço unitário baixo"
"848-42-2560","Fashion accessories","81.91","preço unitário alto"
"532-59-7201","Sports and travel","79.93","preço unitário alto"
"181-94-6432","Fashion accessories","69.33","preço unitário alto"
"870-76-1733","Food and beverages","14.23","preço unitário baixo"
"423-64-4619","Health and beauty","15.55","preço unitário baixo"
"227-07-4446","Electronic accessories","78.13","preço unitário alto"
"174-36-3675","Food and beverages","99.37","preço unitário alto"
"428-83-5800","Food and beverages","21.08","preço unitário baixo"
"603-07-0961","Electronic accessories","74.79","preço unitário alto"
"704-20-4138","Health and beauty","29.67","preço unitário baixo"
"787-15-1757","Health and beauty","44.07","preço unitário baixo"
"649-11-3678","Food and beverages","22.93","preço unitário baixo"
"622-20-1945","Health and beauty","39.42","preço unitário baixo"
"372-94-8041","Health and beauty","15.26","preço unitário baixo"
"563-91-7120","Fashion accessories","61.77","preço unitário alto"
"746-54-5508","Home and lifestyle","21.52","preço unitário baixo"
"276-54-0879","Sports and travel","97.74","preço unitário alto"
"815-11-1168","Food and beverages","99.78","preço unitário alto"
"719-76-3868","Food and beverages","94.26","preço unitário alto"
"730-61-8757","Health and beauty","51.13","preço unitário alto"
"340-66-0321","Electronic accessories","36.36","preço unitário baixo"
"868-81-1752","Home and lifestyle","22.02","preço unitário baixo"
"634-97-8956","Food and beverages","32.9","preço unitário baixo"
"566-71-1091","Fashion accessories","77.02","preço unitário alto"
"442-48-3607","Food and beverages","23.48","preço unitário baixo"
"835-16-0096","Sports and travel","14.7","preço unitário baixo"
"527-09-6272","Electronic accessories","28.45","preço unitário baixo"
"898-04-2717","Fashion accessories","76.4","preço unitário alto"
"692-27-8933","Sports and travel","57.95","preço unitário alto"
"633-09-3463","Electronic accessories","47.65","preço unitário baixo"
"374-17-3652","Food and beverages","42.82","preço unitário baixo"
"378-07-7001","Electronic accessories","48.09","preço unitário baixo"
"433-75-6987","Health and beauty","55.97","preço unitário alto"
"873-95-4984","Health and beauty","76.9","preço unitário alto"
"416-13-5917","Food and beverages","97.03","preço unitário alto"
"150-89-8043","Sports and travel","44.65","preço unitário baixo"
"135-84-8019","Fashion accessories","77.93","preço unitário alto"
"441-94-7118","Electronic accessories","71.95","preço unitário alto"
"725-96-3778","Home and lifestyle","89.25","preço unitário alto"
"531-80-1784","Electronic accessories","26.02","preço unitário baixo"
"400-45-1220","Health and beauty","13.5","preço unitário baixo"
"860-79-0874","Fashion accessories","99.3","preço unitário alto"
"834-61-8124","Electronic accessories","51.69","preço unitário alto"
"115-99-4379","Fashion accessories","54.73","preço unitário alto"
"565-67-6697","Home and lifestyle","27.0","preço unitário baixo"
"320-49-6392","Electronic accessories","30.24","preço unitário baixo"
"889-04-9723","Food and beverages","89.14","preço unitário alto"
"632-90-0281","Fashion accessories","37.55","preço unitário baixo"
"554-42-2417","Sports and travel","95.44","preço unitário alto"
"453-63-6187","Electronic accessories","27.5","preço unitário baixo"
"578-80-7669","Sports and travel","74.97","preço unitário alto"
"612-36-5536","Food and beverages","80.96","preço unitário alto"
"605-72-4132","Food and beverages","94.47","preço unitário alto"
"471-41-2823","Food and beverages","99.79","preço unitário alto"
"462-67-9126","Home and lifestyle","73.22","preço unitário alto"
"272-27-9238","Food and beverages","41.24","preço unitário baixo"
"834-25-9262","Fashion accessories","81.68","preço unitário alto"
"122-61-9553","Electronic accessories","51.32","preço unitário alto"
"468-88-0009","Home and lifestyle","65.94","preço unitário alto"
"613-59-9758","Sports and travel","14.36","preço unitário baixo"
"254-31-0042","Electronic accessories","21.5","preço unitário baixo"
"201-86-2184","Electronic accessories","26.26","preço unitário baixo"
"261-12-8671","Fashion accessories","60.96","preço unitário alto"
"730-70-9830","Home and lifestyle","70.11","preço unitário alto"
"382-25-8917","Fashion accessories","42.08","preço unitário baixo"
"422-29-8786","Home and lifestyle","67.09","preço unitário alto"
"667-23-5919","Fashion accessories","96.7","preço unitário alto"
"843-01-4703","Home and lifestyle","35.38","preço unitário baixo"
"743-88-1662","Sports and travel","95.49","preço unitário alto"
"595-86-2894","Fashion accessories","96.98","preço unitário alto"
"182-69-8360","Electronic accessories","23.65","preço unitário baixo"
"289-15-7034","Sports and travel","82.33","preço unitário alto"
"462-78-5240","Electronic accessories","26.61","preço unitário baixo"
"868-52-7573","Food and beverages","99.69","preço unitário alto"
"153-58-4872","Food and beverages","74.89","preço unitário alto"
"662-72-2873","Food and beverages","40.94","preço unitário baixo"
"525-88-7307","Sports and travel","75.82","preço unitário alto"
"689-16-9784","Food and beverages","46.77","preço unitário baixo"
"725-56-0833","Health and beauty","32.32","preço unitário baixo"
"394-41-0748","Fashion accessories","54.07","preço unitário alto"
"596-42-3999","Food and beverages","18.22","preço unitário baixo"
"541-89-9860","Fashion accessories","80.48","preço unitário alto"
"173-82-9529","Fashion accessories","37.95","preço unitário baixo"
"563-36-9814","Electronic accessories","76.82","preço unitário alto"
"308-47-4913","Sports and travel","52.26","preço unitário alto"
"885-17-6250","Health and beauty","79.74","preço unitário alto"
"726-27-2396","Health and beauty","77.5","preço unitário alto"
"316-01-3952","Food and beverages","54.27","preço unitário alto"
"760-54-1821","Home and lifestyle","13.59","preço unitário baixo"
"793-10-3222","Health and beauty","41.06","preço unitário baixo"
"346-12-3257","Electronic accessories","19.24","preço unitário baixo"
"110-05-6330","Food and beverages","39.43","preço unitário baixo"
"651-61-0874","Home and lifestyle","46.22","preço unitário baixo"
"236-86-3015","Home and lifestyle","13.98","preço unitário baixo"
"831-64-0259","Fashion accessories","39.75","preço unitário baixo"
"587-03-7455","Fashion accessories","97.79","preço unitário alto"
"882-40-4577","Sports and travel","67.26","preço unitário alto"
"732-67-5346","Food and beverages","13.79","preço unitário baixo"
"725-32-9708","Fashion accessories","68.71","preço unitário alto"
"256-08-8343","Home and lifestyle","56.53","preço unitário alto"
"372-26-1506","Fashion accessories","23.82","preço unitário baixo"
"244-08-0162","Health and beauty","34.21","preço unitário baixo"
"569-71-4390","Sports and travel","21.87","preço unitário baixo"
"132-23-6451","Health and beauty","20.97","preço unitário baixo"
"696-90-2548","Sports and travel","25.84","preço unitário baixo"
"472-15-9636","Home and lifestyle","50.93","preço unitário alto"
"268-03-6164","Health and beauty","96.11","preço unitário alto"
"750-57-9686","Home and lifestyle","45.38","preço unitário baixo"
"186-09-3669","Health and beauty","81.51","preço unitário alto"
"848-07-1692","Health and beauty","57.22","preço unitário alto"
"745-71-3520","Electronic accessories","25.22","preço unitário baixo"
"266-76-6436","Food and beverages","38.6","preço unitário baixo"
"740-22-2500","Electronic accessories","84.05","preço unitário alto"
"271-88-8734","Fashion accessories","97.21","preço unitário alto"
"301-81-8610","Fashion accessories","25.42","preço unitário baixo"
"489-64-4354","Fashion accessories","16.28","preço unitário baixo"
"198-84-7132","Fashion accessories","40.61","preço unitário baixo"
"269-10-8440","Health and beauty","53.17","preço unitário alto"
"650-98-6268","Food and beverages","20.87","preço unitário baixo"
"741-73-3559","Sports and travel","67.27","preço unitário alto"
"325-77-6186","Home and lifestyle","90.65","preço unitário alto"
"286-75-7818","Fashion accessories","69.08","preço unitário alto"
"574-57-9721","Food and beverages","43.27","preço unitário baixo"
"459-50-7686","Electronic accessories","23.46","preço unitário baixo"
"616-87-0016","Fashion accessories","95.54","preço unitário alto"
"837-55-7229","Fashion accessories","47.44","preço unitário baixo"
"751-69-0068","Sports and travel","99.24","preço unitário alto"
"257-73-1380","Sports and travel","82.93","preço unitário alto"
"345-08-4992","Home and lifestyle","33.99","preço unitário baixo"
"549-96-4200","Food and beverages","17.04","preço unitário baixo"
"810-60-6344","Electronic accessories","40.86","preço unitário baixo"
"450-28-2866","Food and beverages","17.44","preço unitário baixo"
"394-30-3170","Sports and travel","88.43","preço unitário alto"
"138-17-5109","Home and lifestyle","89.21","preço unitário alto"
"192-98-7397","Fashion accessories","12.78","preço unitário baixo"
"301-11-9629","Sports and travel","19.1","preço unitário baixo"
"390-80-5128","Health and beauty","19.15","preço unitário baixo"
"235-46-8343","Food and beverages","27.66","preço unitário baixo"
"453-12-7053","Fashion accessories","45.74","preço unitário baixo"
"296-11-7041","Health and beauty","27.07","preço unitário baixo"
"449-27-2918","Sports and travel","39.12","preço unitário baixo"
"891-01-7034","Electronic accessories","74.71","preço unitário alto"
"744-09-5786","Electronic accessories","22.01","preço unitário baixo"
"727-17-0390","Food and beverages","63.61","preço unitário alto"
"568-88-3448","Health and beauty","25.0","preço unitário baixo"
"187-83-5490","Electronic accessories","20.77","preço unitário baixo"
"767-54-1907","Fashion accessories","29.56","preço unitário baixo"
"710-46-4433","Food and beverages","77.4","preço unitário alto"
"533-33-5337","Electronic accessories","79.39","preço unitário alto"
"325-90-8763","Electronic accessories","46.57","preço unitário baixo"
"729-46-7422","Food and beverages","35.89","preço unitário baixo"
"639-76-1242","Food and beverages","40.52","preço unitário baixo"
"234-03-4040","Food and beverages","73.05","preço unitário alto"
"326-71-2155","Sports and travel","73.95","preço unitário alto"
"320-32-8842","Food and beverages","22.62","preço unitário baixo"
"470-32-9057","Food and beverages","51.34","preço unitário alto"
"878-30-2331","Sports and travel","54.55","preço unitário alto"
"440-59-5691","Health and beauty","37.15","preço unitário baixo"
"554-53-3790","Sports and travel","37.02","preço unitário baixo"
"746-19-0921","Food and beverages","21.58","preço unitário baixo"
"233-34-0817","Electronic accessories","98.84","preço unitário alto"
"767-05-1286","Home and lifestyle","83.77","preço unitário alto"
"340-21-9136","Sports and travel","40.05","preço unitário baixo"
"405-31-3305","Fashion accessories","43.13","preço unitário baixo"
"731-59-7531","Health and beauty","72.57","preço unitário alto"
"676-39-6028","Electronic accessories","64.44","preço unitário alto"
"502-05-1910","Health and beauty","65.18","preço unitário alto"
"485-30-8700","Sports and travel","33.26","preço unitário baixo"
"598-47-9715","Electronic accessories","84.07","preço unitário alto"
