"invoice_id","branch","total","classetotal"
"727-46-3608","B","189.0945","Total com baixo valor"
"669-54-1719","B","119.259","Total com baixo valor"
"574-22-5561","C","867.615","Total com alto valor"
"326-78-5178","C","671.79","Total com alto valor"
"162-48-8011","A","234.0975","Total com baixo valor"
"616-24-2851","B","75.054","Total com baixo valor"
"778-71-5554","C","16.2015","Total com baixo valor"
"242-55-6721","B","33.936","Total com baixo valor"
"399-46-5918","C","722.232","Total com alto valor"
"106-35-6779","A","93.114","Total com baixo valor"
"635-40-6220","A","752.64","Total com alto valor"
"817-48-8732","A","759.675","Total com alto valor"
"120-06-4233","C","192.843","Total com baixo valor"
"285-68-5083","C","77.931","Total com baixo valor"
"803-83-5989","C","351.099","Total com baixo valor"
"347-34-2234","B","520.4115","Total com alto valor"
"199-75-8169","A","166.005","Total com baixo valor"
"853-23-2453","B","318.108","Total com baixo valor"
"877-22-3308","A","166.635","Total com baixo valor"
"838-78-4295","C","70.287","Total com baixo valor"
"109-28-2512","B","614.943","Total com alto valor"
"232-11-3025","A","827.085","Total com alto valor"
"382-03-4532","A","19.2465","Total com baixo valor"
"393-65-2792","C","939.54","Total com alto valor"
"796-12-2025","C","652.26","Total com alto valor"
"510-95-6347","B","152.838","Total com baixo valor"
"841-35-6630","C","478.233","Total com baixo valor"
"287-21-9091","A","705.6315","Total com alto valor"
"732-94-0499","C","437.325","Total com baixo valor"
"263-10-3913","C","463.428","Total com baixo valor"
"381-20-0914","A","189.0945","Total com baixo valor"
"829-49-1914","C","822.255","Total com alto valor"
"756-01-7507","C","106.995","Total com baixo valor"
"870-72-4431","C","624.897","Total com alto valor"
"847-38-7188","B","304.542","Total com baixo valor"
"480-63-2856","C","161.7","Total com baixo valor"
"787-56-0757","C","337.512","Total com baixo valor"
"360-39-5055","C","256.7775","Total com baixo valor"
"730-50-9884","C","610.491","Total com alto valor"
"362-58-8315","C","401.73","Total com baixo valor"
"633-44-8566","A","362.943","Total com baixo valor"
"504-35-8843","A","44.5935","Total com baixo valor"
"318-68-5053","B","485.037","Total com baixo valor"
"565-80-5980","C","198.996","Total com baixo valor"
"225-32-0908","C","471.03","Total com baixo valor"
"873-51-0671","A","161.553","Total com baixo valor"
"152-08-9985","B","608.202","Total com alto valor"
"512-91-0811","C","94.2375","Total com baixo valor"
"594-34-4444","A","102.018","Total com baixo valor"
"766-85-7061","B","922.635","Total com alto valor"
"871-39-9221","C","78.435","Total com baixo valor"
"865-92-6136","A","166.1625","Total com baixo valor"
"733-01-9107","B","521.01","Total com alto valor"
"163-56-7055","C","51.1455","Total com baixo valor"
"189-98-2939","C","742.2975","Total com alto valor"
"551-21-3069","C","218.0115","Total com baixo valor"
"212-62-1842","A","367.038","Total com baixo valor"
"716-39-1409","B","223.0725","Total com baixo valor"
"704-48-3927","A","931.035","Total com alto valor"
"628-34-3388","C","172.494","Total com baixo valor"
"630-74-5166","A","391.419","Total com baixo valor"
"588-01-7461","C","321.111","Total com baixo valor"
"861-77-0145","C","860.685","Total com alto valor"
"479-26-8945","B","34.629","Total com baixo valor"
"210-67-5886","C","309.3615","Total com baixo valor"
"227-78-1148","B","535.374","Total com alto valor"
"645-44-1170","A","548.7615","Total com alto valor"
"237-01-6122","C","763.4655","Total com alto valor"
"225-98-1496","C","85.113","Total com baixo valor"
"291-32-1427","B","115.185","Total com baixo valor"
"659-65-8956","B","53.928","Total com baixo valor"
"642-32-2990","A","115.08","Total com baixo valor"
"378-24-2715","B","112.224","Total com baixo valor"
"638-60-7125","A","836.304","Total com alto valor"
"659-36-1684","C","419.832","Total com baixo valor"
"219-22-9386","B","944.622","Total com alto valor"
"336-78-2147","C","536.844","Total com alto valor"
"268-27-6179","B","474.348","Total com baixo valor"
"668-90-8900","A","688.6215","Total com alto valor"
"870-54-3162","A","169.3125","Total com baixo valor"
"189-08-9157","C","299.8485","Total com baixo valor"
"663-86-9076","C","575.736","Total com alto valor"
"549-84-7482","B","853.146","Total com alto valor"
"191-10-6171","B","291.207","Total com baixo valor"
"802-70-5316","A","580.419","Total com alto valor"
"695-51-0018","B","146.328","Total com baixo valor"
"590-83-4591","B","550.935","Total com alto valor"
"483-71-1164","C","512.19","Total com alto valor"
"597-78-7908","C","284.193","Total com baixo valor"
"700-81-1757","A","138.1275","Total com baixo valor"
"354-39-5160","A","216.846","Total com baixo valor"
"241-72-9525","B","545.055","Total com alto valor"
"575-30-8091","A","609.0","Total com alto valor"
"731-81-9469","C","942.9","Total com alto valor"
"280-17-4359","C","950.25","Total com alto valor"
"338-65-2210","C","720.3","Total com alto valor"
"488-25-4221","C","31.9305","Total com baixo valor"
"239-10-7476","A","491.085","Total com baixo valor"
"458-41-1477","C","291.438","Total com baixo valor"
"685-64-1609","A","316.47","Total com baixo valor"
"568-90-5112","C","277.788","Total com baixo valor"
"262-47-2794","B","603.624","Total com alto valor"
"238-49-0436","A","272.664","Total com baixo valor"
"608-96-3517","B","384.468","Total com baixo valor"
"584-86-7256","C","254.016","Total com baixo valor"
"746-94-0204","A","786.618","Total com alto valor"
"214-17-6927","C","103.824","Total com baixo valor"
"400-89-4171","C","680.148","Total com alto valor"
"782-95-9291","A","484.5225","Total com baixo valor"
"279-74-2924","B","75.7785","Total com baixo valor"
"307-85-2293","B","263.97","Total com baixo valor"
"743-04-1105","B","918.729","Total com alto valor"
"423-57-2993","B","588.357","Total com alto valor"
"894-41-5205","C","362.712","Total com baixo valor"
"275-28-0149","A","66.8745","Total com baixo valor"
"101-17-6199","A","336.5565","Total com baixo valor"
"423-80-0988","C","160.44","Total com baixo valor"
"548-46-9322","B","418.95","Total com baixo valor"
"505-02-0892","B","357.588","Total com baixo valor"
"234-65-2137","C","1003.59","Total com alto valor"
"687-47-8271","A","1039.29","Total com alto valor"
"796-32-9050","A","323.064","Total com baixo valor"
"105-31-1824","A","510.972","Total com alto valor"
"249-42-3782","A","367.5525","Total com baixo valor"
"316-55-4634","B","420.2625","Total com baixo valor"
"733-33-4967","C","175.14","Total com baixo valor"
"608-27-6295","B","333.207","Total com baixo valor"
"414-12-7047","B","166.236","Total com baixo valor"
"827-26-2100","A","319.788","Total com baixo valor"
"175-54-2529","A","186.228","Total com baixo valor"
"139-52-2867","C","165.4485","Total com baixo valor"
"407-63-8975","A","465.444","Total com baixo valor"
"342-65-4817","C","273.42","Total com baixo valor"
"130-98-8941","C","472.311","Total com baixo valor"
"434-83-9547","C","323.148","Total com baixo valor"
"851-28-6367","A","162.75","Total com baixo valor"
"824-88-3614","C","288.204","Total com baixo valor"
"586-25-0848","A","90.699","Total com baixo valor"
"895-66-0685","B","56.952","Total com baixo valor"
"305-14-0245","B","793.716","Total com alto valor"
"732-04-5373","B","195.174","Total com baixo valor"
"400-60-7251","A","77.7735","Total com baixo valor"
"593-65-1552","C","293.202","Total com baixo valor"
"284-34-9626","B","242.676","Total com baixo valor"
"437-58-8131","B","154.392","Total com baixo valor"
"286-43-6208","C","829.71","Total com alto valor"
"641-43-2399","B","107.31","Total com baixo valor"
"831-07-6050","A","171.7275","Total com baixo valor"
"556-86-3144","C","78.0045","Total com baixo valor"
"848-24-9445","C","91.77","Total com baixo valor"
"856-22-8149","A","26.5545","Total com baixo valor"
"699-01-4164","C","174.3","Total com baixo valor"
"420-11-4919","C","374.7975","Total com baixo valor"
"606-80-4905","C","120.645","Total com baixo valor"
"542-41-0513","B","241.458","Total com baixo valor"
"426-39-2418","C","451.3635","Total com baixo valor"
"875-46-5808","B","271.95","Total com baixo valor"
"394-43-4238","B","93.2925","Total com baixo valor"
"749-24-1565","A","217.6335","Total com baixo valor"
"672-51-8681","C","629.8425","Total com alto valor"
"263-87-5680","C","299.565","Total com baixo valor"
"573-58-9734","B","95.6655","Total com baixo valor"
"817-69-8206","B","942.4485","Total com alto valor"
"888-02-0338","A","247.8735","Total com baixo valor"
"677-11-0152","C","881.307","Total com alto valor"
"142-63-6033","B","484.89","Total com baixo valor"
"656-16-1063","B","146.223","Total com baixo valor"
"891-58-8335","B","217.6335","Total com baixo valor"
"802-43-8934","A","19.194","Total com baixo valor"
"560-30-5617","B","130.0425","Total com baixo valor"
"319-74-2561","A","298.116","Total com baixo valor"
"549-03-9315","B","796.908","Total com alto valor"
"790-29-1172","B","180.621","Total com baixo valor"
"239-36-3640","B","285.705","Total com baixo valor"
"468-01-2051","B","456.288","Total com baixo valor"
"389-25-3394","C","62.0025","Total com baixo valor"
"279-62-1445","C","13.167","Total com baixo valor"
"213-72-6612","A","90.825","Total com baixo valor"
"746-68-6593","C","183.036","Total com baixo valor"
"836-82-5858","B","655.5465","Total com alto valor"
"583-72-1480","C","155.652","Total com baixo valor"
"466-61-5506","B","571.41","Total com alto valor"
"721-86-6247","A","532.728","Total com alto valor"
"289-65-5721","B","170.877","Total com baixo valor"
"545-46-3100","B","33.3585","Total com baixo valor"
"418-02-5978","B","794.6505","Total com alto valor"
"269-04-5750","B","310.044","Total com baixo valor"
"157-13-5295","A","545.37","Total com alto valor"
"645-78-8093","A","195.594","Total com baixo valor"
"211-30-9270","C","91.4025","Total com baixo valor"
"755-12-3214","C","232.155","Total com baixo valor"
"346-84-3103","B","69.405","Total com baixo valor"
"478-06-7835","A","94.1745","Total com baixo valor"
"540-11-4336","A","235.683","Total com baixo valor"
"448-81-5016","A","125.517","Total com baixo valor"
"142-72-4741","C","195.72","Total com baixo valor"
"217-58-1179","A","263.13","Total com baixo valor"
"376-02-8238","B","788.508","Total com alto valor"
"530-90-9855","A","399.756","Total com baixo valor"
"866-05-7563","B","256.41","Total com baixo valor"
"604-70-6476","A","94.185","Total com baixo valor"
"799-71-1548","A","326.424","Total com baixo valor"
"785-13-7708","B","536.991","Total com alto valor"
"845-51-0542","B","439.8975","Total com baixo valor"
"662-47-5456","C","369.495","Total com baixo valor"
"883-17-4236","C","30.219","Total com baixo valor"
"290-68-2984","A","99.75","Total com baixo valor"
"704-11-6354","A","494.76","Total com baixo valor"
"110-48-7033","B","137.004","Total com baixo valor"
"366-93-0948","A","69.6675","Total com baixo valor"
"729-09-9681","A","163.233","Total com baixo valor"
"151-16-1484","A","135.45","Total com baixo valor"
"380-94-4661","C","276.948","Total com baixo valor"
"850-41-9669","A","709.317","Total com alto valor"
"821-07-3596","C","69.09","Total com baixo valor"
"655-85-5130","B","160.86","Total com baixo valor"
"447-15-7839","A","233.52","Total com baixo valor"
"154-74-7179","B","57.1725","Total com baixo valor"
"253-12-6086","A","723.24","Total com alto valor"
"808-65-0703","C","148.974","Total com baixo valor"
"571-94-0759","B","783.3","Total com alto valor"
"144-51-6085","A","297.108","Total com baixo valor"
"731-14-2199","A","373.17","Total com baixo valor"
"783-09-1637","B","354.0075","Total com baixo valor"
"687-15-1097","C","44.352","Total com baixo valor"
"126-54-1082","A","203.553","Total com baixo valor"
"633-91-1052","A","25.263","Total com baixo valor"
"477-24-6490","B","628.173","Total com alto valor"
"566-19-5475","B","352.5795","Total com baixo valor"
"526-86-8552","C","229.11","Total com baixo valor"
"376-56-3573","C","400.764","Total com baixo valor"
"537-72-0426","C","745.395","Total com alto valor"
"828-61-5674","A","462.21","Total com baixo valor"
"136-08-6195","A","587.664","Total com alto valor"
"523-38-0215","C","38.85","Total com baixo valor"
"490-29-1201","A","16.107","Total com baixo valor"
"667-92-0055","A","628.929","Total com alto valor"
"565-17-3836","A","200.214","Total com baixo valor"
"498-41-1961","B","350.07","Total com baixo valor"
"593-95-4461","C","78.603","Total com baixo valor"
"226-71-3580","C","224.4375","Total com baixo valor"
"283-79-9594","B","356.5485","Total com baixo valor"
"430-60-3493","A","697.368","Total com alto valor"
"139-20-0155","B","423.15","Total com baixo valor"
"558-80-4082","C","204.6975","Total com baixo valor"
"278-97-7759","A","65.604","Total com baixo valor"
"316-68-6352","A","76.356","Total com baixo valor"
"585-03-5943","B","190.155","Total com baixo valor"
"211-05-0490","C","272.58","Total com baixo valor"
"727-75-6477","C","121.128","Total com baixo valor"
"744-02-5987","A","493.794","Total com baixo valor"
"307-83-9164","A","252.042","Total com baixo valor"
"779-06-0012","C","93.0405","Total com baixo valor"
"446-47-6729","C","209.622","Total com baixo valor"
"573-10-3877","B","40.9605","Total com baixo valor"
"735-06-4124","C","51.0405","Total com baixo valor"
"439-54-7422","A","214.998","Total com baixo valor"
"396-90-2219","B","125.664","Total com baixo valor"
"411-77-0180","A","530.67","Total com alto valor"
"286-01-5402","A","295.6905","Total com baixo valor"
"803-17-8013","A","745.836","Total com alto valor"
"512-98-1403","A","83.412","Total com baixo valor"
"848-42-2560","A","172.011","Total com baixo valor"
"532-59-7201","B","503.559","Total com alto valor"
"181-94-6432","C","145.593","Total com baixo valor"
"870-76-1733","A","74.7075","Total com baixo valor"
"423-64-4619","A","146.9475","Total com baixo valor"
"227-07-4446","C","820.365","Total com alto valor"
"174-36-3675","C","208.677","Total com baixo valor"
"428-83-5800","C","66.402","Total com baixo valor"
"603-07-0961","C","392.6475","Total com baixo valor"
"704-20-4138","C","218.0745","Total com baixo valor"
"787-15-1757","C","185.094","Total com baixo valor"
"649-11-3678","C","216.6885","Total com baixo valor"
"622-20-1945","C","41.391","Total com baixo valor"
"372-94-8041","A","96.138","Total com baixo valor"
"563-91-7120","A","324.2925","Total com baixo valor"
"746-54-5508","A","135.576","Total com baixo valor"
"276-54-0879","B","410.508","Total com baixo valor"
"815-11-1168","A","523.845","Total com alto valor"
"719-76-3868","C","395.892","Total com baixo valor"
"730-61-8757","B","214.746","Total com baixo valor"
"340-66-0321","A","152.712","Total com baixo valor"
"868-81-1752","B","208.089","Total com baixo valor"
"634-97-8956","A","103.635","Total com baixo valor"
"566-71-1091","A","404.355","Total com baixo valor"
"442-48-3607","A","49.308","Total com baixo valor"
"835-16-0096","C","77.175","Total com baixo valor"
"527-09-6272","A","149.3625","Total com baixo valor"
"898-04-2717","A","721.98","Total com alto valor"
"692-27-8933","B","365.085","Total com baixo valor"
"633-09-3463","C","150.0975","Total com baixo valor"
"374-17-3652","B","404.649","Total com baixo valor"
"378-07-7001","B","151.4835","Total com baixo valor"
"433-75-6987","B","411.3795","Total com baixo valor"
"873-95-4984","B","565.215","Total com alto valor"
"416-13-5917","C","509.4075","Total com alto valor"
"150-89-8043","A","140.6475","Total com baixo valor"
"135-84-8019","A","736.4385","Total com alto valor"
"441-94-7118","A","75.5475","Total com baixo valor"
"725-96-3778","C","749.7","Total com alto valor"
"531-80-1784","A","191.247","Total com baixo valor"
"400-45-1220","B","141.75","Total com baixo valor"
"860-79-0874","C","1042.65","Total com alto valor"
"834-61-8124","A","379.9215","Total com baixo valor"
"115-99-4379","B","402.2655","Total com baixo valor"
"565-67-6697","B","255.15","Total com baixo valor"
"320-49-6392","C","31.752","Total com baixo valor"
"889-04-9723","B","374.388","Total com baixo valor"
"632-90-0281","C","394.275","Total com baixo valor"
"554-42-2417","C","1002.12","Total com alto valor"
"453-63-6187","B","86.625","Total com baixo valor"
"578-80-7669","B","78.7185","Total com baixo valor"
"612-36-5536","A","680.064","Total com alto valor"
"605-72-4132","C","793.548","Total com alto valor"
"471-41-2823","C","209.559","Total com baixo valor"
"462-67-9126","A","461.286","Total com baixo valor"
"272-27-9238","C","173.208","Total com baixo valor"
"834-25-9262","C","343.056","Total com baixo valor"
"122-61-9553","C","484.974","Total com baixo valor"
"468-88-0009","A","276.948","Total com baixo valor"
"613-59-9758","C","150.78","Total com baixo valor"
"254-31-0042","A","203.175","Total com baixo valor"
"201-86-2184","B","193.011","Total com baixo valor"
"261-12-8671","B","128.016","Total com baixo valor"
"730-70-9830","C","441.693","Total com baixo valor"
"382-25-8917","C","265.104","Total com baixo valor"
"422-29-8786","A","352.2225","Total com baixo valor"
"667-23-5919","A","507.675","Total com alto valor"
"843-01-4703","B","334.341","Total com baixo valor"
"743-88-1662","C","701.8515","Total com alto valor"
"595-86-2894","C","407.316","Total com baixo valor"
"182-69-8360","B","99.33","Total com baixo valor"
"289-15-7034","A","345.786","Total com baixo valor"
"462-78-5240","C","55.881","Total com baixo valor"
"868-52-7573","B","523.3725","Total com alto valor"
"153-58-4872","C","314.538","Total com baixo valor"
"662-72-2873","A","214.935","Total com baixo valor"
"525-88-7307","B","79.611","Total com baixo valor"
"689-16-9784","C","294.651","Total com baixo valor"
"725-56-0833","A","339.36","Total com baixo valor"
"394-41-0748","C","510.9615","Total com alto valor"
"596-42-3999","B","133.917","Total com baixo valor"
"541-89-9860","C","253.512","Total com baixo valor"
"173-82-9529","B","398.475","Total com baixo valor"
"563-36-9814","A","80.661","Total com baixo valor"
"308-47-4913","A","548.73","Total com alto valor"
"885-17-6250","A","83.727","Total com baixo valor"
"726-27-2396","A","406.875","Total com baixo valor"
"316-01-3952","A","284.9175","Total com baixo valor"
"760-54-1821","B","128.4255","Total com baixo valor"
"793-10-3222","B","258.678","Total com baixo valor"
"346-12-3257","B","181.818","Total com baixo valor"
"110-05-6330","C","248.409","Total com baixo valor"
"651-61-0874","C","194.124","Total com baixo valor"
"236-86-3015","C","14.679","Total com baixo valor"
"831-64-0259","B","208.6875","Total com baixo valor"
"587-03-7455","C","718.7565","Total com alto valor"
"882-40-4577","A","282.492","Total com baixo valor"
"732-67-5346","A","72.3975","Total com baixo valor"
"725-32-9708","B","288.582","Total com baixo valor"
"256-08-8343","A","237.426","Total com baixo valor"
"372-26-1506","C","125.055","Total com baixo valor"
"244-08-0162","B","359.205","Total com baixo valor"
"569-71-4390","B","45.927","Total com baixo valor"
"132-23-6451","A","110.0925","Total com baixo valor"
"696-90-2548","A","81.396","Total com baixo valor"
"472-15-9636","A","427.812","Total com baixo valor"
"268-03-6164","B","100.9155","Total com baixo valor"
"750-57-9686","C","190.596","Total com baixo valor"
"186-09-3669","C","85.5855","Total com baixo valor"
"848-07-1692","B","120.162","Total com baixo valor"
"745-71-3520","A","185.367","Total com baixo valor"
"266-76-6436","C","121.59","Total com baixo valor"
"740-22-2500","C","264.7575","Total com baixo valor"
"271-88-8734","C","1020.705","Total com alto valor"
"301-81-8610","B","213.528","Total com baixo valor"
"489-64-4354","C","17.094","Total com baixo valor"
"198-84-7132","B","383.7645","Total com baixo valor"
"269-10-8440","A","390.7995","Total com baixo valor"
"650-98-6268","B","65.7405","Total com baixo valor"
"741-73-3559","B","353.1675","Total com baixo valor"
"325-77-6186","A","951.825","Total com alto valor"
"286-75-7818","B","145.068","Total com baixo valor"
"574-57-9721","C","90.867","Total com baixo valor"
"459-50-7686","A","147.798","Total com baixo valor"
"616-87-0016","B","702.219","Total com alto valor"
"837-55-7229","B","49.812","Total com baixo valor"
"751-69-0068","C","937.818","Total com alto valor"
"257-73-1380","C","348.306","Total com baixo valor"
"345-08-4992","A","214.137","Total com baixo valor"
"549-96-4200","C","71.568","Total com baixo valor"
"810-60-6344","C","343.224","Total com baixo valor"
"450-28-2866","C","91.56","Total com baixo valor"
"394-30-3170","B","742.812","Total com alto valor"
"138-17-5109","A","843.0345","Total com alto valor"
"192-98-7397","C","13.419","Total com baixo valor"
"301-11-9629","A","140.385","Total com baixo valor"
"390-80-5128","B","20.1075","Total com baixo valor"
"235-46-8343","C","290.43","Total com baixo valor"
"453-12-7053","C","144.081","Total com baixo valor"
"296-11-7041","B","28.4235","Total com baixo valor"
"449-27-2918","B","41.076","Total com baixo valor"
"891-01-7034","B","470.673","Total com baixo valor"
"744-09-5786","B","138.663","Total com baixo valor"
"727-17-0390","A","333.9525","Total com baixo valor"
"568-88-3448","A","26.25","Total com baixo valor"
"187-83-5490","A","87.234","Total com baixo valor"
"767-54-1907","B","155.19","Total com baixo valor"
"710-46-4433","B","731.43","Total com alto valor"
"533-33-5337","B","833.595","Total com alto valor"
"325-90-8763","C","488.985","Total com baixo valor"
"729-46-7422","C","37.6845","Total com baixo valor"
"639-76-1242","C","212.73","Total com baixo valor"
"234-03-4040","B","767.025","Total com alto valor"
"326-71-2155","C","310.59","Total com baixo valor"
"320-32-8842","C","23.751","Total com baixo valor"
"470-32-9057","A","269.535","Total com baixo valor"
"878-30-2331","C","572.775","Total com alto valor"
"440-59-5691","C","273.0525","Total com baixo valor"
"554-53-3790","B","233.226","Total com baixo valor"
"746-19-0921","C","22.659","Total com baixo valor"
"233-34-0817","C","103.782","Total com baixo valor"
"767-05-1286","C","527.751","Total com alto valor"
"340-21-9136","A","168.21","Total com baixo valor"
"405-31-3305","A","452.865","Total com baixo valor"
"731-59-7531","B","609.588","Total com alto valor"
"676-39-6028","A","338.31","Total com baixo valor"
"502-05-1910","A","205.317","Total com baixo valor"
"485-30-8700","A","174.615","Total com baixo valor"
"598-47-9715","C","353.094","Total com baixo valor"
"701-69-8742","B","360.885","Total com baixo valor"
"575-67-1508","A","40.53","Total com baixo valor"
"541-08-3113","C","554.148","Total com alto valor"
"246-11-3901","C","344.4","Total com baixo valor"
"674-15-9296","A","194.985","Total com baixo valor"
"305-18-3552","B","633.99","Total com alto valor"
"493-65-6248","C","388.29","Total com baixo valor"
"438-01-4015","B","207.858","Total com baixo valor"
"709-58-4068","B","431.445","Total com baixo valor"
"795-49-7276","A","156.03","Total com baixo valor"
"556-72-8512","C","24.108","Total com baixo valor"
"627-95-3243","B","734.076","Total com alto valor"
"686-41-0932","B","72.87","Total com baixo valor"
"510-09-5628","A","206.43","Total com baixo valor"
"608-04-3797","B","212.688","Total com baixo valor"
"148-82-2527","C","127.26","Total com baixo valor"
"437-53-3084","B","209.769","Total com baixo valor"
"632-32-4574","B","637.728","Total com alto valor"
"556-97-7101","C","132.762","Total com baixo valor"
"862-59-8517","C","568.512","Total com alto valor"
"401-18-8016","B","103.0365","Total com baixo valor"
"420-18-8989","A","432.768","Total com baixo valor"
"277-63-2961","B","77.6685","Total com baixo valor"
"573-98-8548","C","33.495","Total com baixo valor"
"620-02-2046","C","145.74","Total com baixo valor"
"282-35-2475","B","195.951","Total com baixo valor"
"511-54-3087","B","92.8725","Total com baixo valor"
"726-29-6793","A","203.112","Total com baixo valor"
"387-49-4215","B","152.775","Total com baixo valor"
"862-17-9201","B","529.515","Total com alto valor"
"291-21-5991","B","321.7725","Total com baixo valor"
"602-80-9671","C","100.485","Total com baixo valor"
"347-72-6115","B","666.939","Total com alto valor"
"209-61-0206","A","225.2775","Total com baixo valor"
"595-27-4851","A","398.958","Total com baixo valor"
"189-52-0236","A","731.6925","Total com alto valor"
"503-07-0930","C","429.1665","Total com baixo valor"
"413-20-6708","C","54.0435","Total com baixo valor"
"425-85-2085","B","288.015","Total com baixo valor"
"521-18-7827","C","206.7975","Total com baixo valor"
"220-28-1851","A","72.933","Total com baixo valor"
"600-38-9738","C","377.58","Total com baixo valor"
"734-91-1155","B","143.9865","Total com baixo valor"
"451-28-5717","C","523.971","Total com alto valor"
"609-81-8548","A","235.872","Total com baixo valor"
"133-14-7229","C","132.027","Total com baixo valor"
"534-01-4457","A","514.773","Total com alto valor"
"719-89-8991","A","479.9025","Total com baixo valor"
"286-62-6248","B","164.682","Total com baixo valor"
"339-38-9982","B","125.706","Total com baixo valor"
"827-44-5872","B","570.78","Total com alto valor"
"827-77-7633","A","926.9505","Total com alto valor"
"287-83-1405","A","160.209","Total com baixo valor"
"435-13-4908","A","728.112","Total com alto valor"
"857-67-9057","B","240.975","Total com baixo valor"
"236-27-1144","C","154.1295","Total com baixo valor"
"892-05-6689","A","148.68","Total com baixo valor"
"583-41-4548","C","122.5245","Total com baixo valor"
"339-12-4827","B","77.658","Total com baixo valor"
"643-38-7867","A","102.837","Total com baixo valor"
"308-81-0538","A","306.81","Total com baixo valor"
"358-88-9262","C","551.124","Total com alto valor"
"460-35-4390","A","96.642","Total com baixo valor"
"343-87-0864","C","79.674","Total com baixo valor"
"173-50-1108","B","84.756","Total com baixo valor"
"243-47-2663","C","118.251","Total com baixo valor"
"841-18-8232","B","74.76","Total com baixo valor"
"701-23-5550","B","163.002","Total com baixo valor"
"647-50-1224","A","308.91","Total com baixo valor"
"541-48-8554","A","575.9775","Total com alto valor"
"539-21-7227","B","270.585","Total com baixo valor"
"213-32-1216","A","416.178","Total com baixo valor"
"747-58-7183","B","180.4005","Total com baixo valor"
"582-52-8065","B","513.2295","Total com alto valor"
"210-57-1719","B","550.368","Total com alto valor"
"399-69-4630","C","139.923","Total com baixo valor"
"134-75-2619","A","142.002","Total com baixo valor"
"356-44-8813","B","118.062","Total com baixo valor"
"198-66-9832","B","151.284","Total com baixo valor"
"283-26-5248","C","1034.46","Total com alto valor"
"712-39-0363","A","262.458","Total com baixo valor"
"218-59-9410","A","228.123","Total com baixo valor"
"174-75-0888","B","203.931","Total com baixo valor"
"866-99-7614","C","936.6","Total com alto valor"
"134-54-4720","B","356.328","Total com baixo valor"
"760-90-2357","A","469.413","Total com baixo valor"
"514-37-2845","B","208.425","Total com baixo valor"
"698-98-5964","A","852.705","Total com alto valor"
"718-57-9773","C","517.965","Total com alto valor"
"651-88-7328","A","621.243","Total com alto valor"
"241-11-2261","B","586.971","Total com alto valor"
"408-26-9866","C","543.753","Total com alto valor"
"834-83-1826","B","430.71","Total com baixo valor"
"343-61-3544","B","280.035","Total com baixo valor"
"239-48-4278","A","74.4555","Total com baixo valor"
"355-34-6244","B","152.019","Total com baixo valor"
"550-84-8664","A","451.0275","Total com baixo valor"
"339-96-8318","B","597.6285","Total com alto valor"
"458-61-0011","B","253.26","Total com baixo valor"
"592-34-6155","C","133.434","Total com baixo valor"
"797-88-0493","A","269.934","Total com baixo valor"
"207-73-1363","B","145.971","Total com baixo valor"
"390-31-6381","C","85.743","Total com baixo valor"
