"invoice_id","customer_type","total"
"489-82-1237","Normal","690.018"
"845-94-6841","Member","688.716"
"668-90-8900","Normal","688.6215"
"222-42-0244","Member","681.4395"
"400-89-4171","Normal","680.148"
"347-72-6115","Member","666.939"
"394-55-6384","Member","663.2955"
"189-55-2313","Normal","652.89"
"849-09-3807","Member","649.299"
"759-98-4285","Member","631.1445"
"672-51-8681","Member","629.8425"
"477-24-6490","Normal","628.173"
"870-72-4431","Normal","624.897"
"125-45-2293","Normal","624.33"
"651-88-7328","Normal","621.243"
"109-28-2512","Member","614.943"
"887-42-0517","Normal","611.079"
"730-50-9884","Normal","610.491"
"131-15-8856","Member","609.168"
"406-46-7107","Normal","608.076"
"386-27-7606","Member","596.82"
"299-46-1805","Member","590.436"
"136-08-6195","Normal","587.664"
"241-11-2261","Normal","586.971"
"802-70-5316","Member","580.419"
"433-08-7822","Normal","579.8415"
"663-86-9076","Member","575.736"
"272-65-1806","Normal","575.316"
"878-30-2331","Member","572.775"
"466-61-5506","Member","571.41"
"827-44-5872","Member","570.78"
"862-59-8517","Normal","568.512"
"873-95-4984","Member","565.215"
"866-70-2814","Normal","554.295"
"358-88-9262","Member","551.124"
"210-57-1719","Normal","550.368"
"750-67-8428","Member","548.9715"
"308-47-4913","Member","548.73"
"408-26-9866","Normal","543.753"
"196-01-2849","Member","539.343"
"410-67-1709","Member","536.592"
"227-78-1148","Normal","535.374"
"721-86-6247","Normal","532.728"
"862-17-9201","Normal","529.515"
"767-05-1286","Member","527.751"
"857-16-3520","Member","525.231"
"451-28-5717","Member","523.971"
"868-52-7573","Normal","523.3725"
"347-34-2234","Member","520.4115"
"718-57-9773","Normal","517.965"
"624-01-8356","Normal","514.605"
"582-52-8065","Normal","513.2295"
"483-71-1164","Normal","512.19"
"394-41-0748","Member","510.9615"
"416-13-5917","Normal","509.4075"
"667-23-5919","Member","507.675"
"626-43-7888","Normal","507.444"
"656-95-9349","Member","506.6355"
"160-22-2687","Member","503.7375"
"201-63-8275","Member","499.7265"
"372-62-5264","Normal","497.07"
"239-10-7476","Normal","491.085"
"325-90-8763","Member","488.985"
"114-35-5271","Normal","486.444"
"607-76-6216","Member","485.5725"
"318-68-5053","Normal","485.037"
"122-61-9553","Normal","484.974"
"719-89-8991","Member","479.9025"
"809-69-9497","Normal","479.64"
"841-35-6630","Normal","478.233"
"811-03-8790","Normal","477.54"
"268-27-6179","Member","474.348"
"225-32-0908","Normal","471.03"
"752-23-3760","Member","470.988"
"891-01-7034","Normal","470.673"
"361-85-2571","Normal","469.77"
"145-94-9061","Normal","463.89"
"759-29-9521","Member","462.672"
"333-73-7901","Normal","461.328"
"800-09-8606","Member","458.6925"
"316-66-3011","Member","450.1035"
"499-27-7781","Normal","446.964"
"227-03-5010","Member","441.756"
"730-70-9830","Normal","441.693"
"109-86-4363","Member","441.588"
"123-35-4896","Normal","440.937"
"389-70-2397","Normal","439.215"
"732-94-0499","Normal","437.325"
"354-25-5821","Member","435.456"
"851-98-3555","Normal","435.12"
"355-53-5943","Member","433.692"
"420-18-8989","Member","432.768"
"709-58-4068","Normal","431.445"
"834-83-1826","Member","430.71"
"377-79-7592","Member","423.738"
"380-60-5336","Normal","422.73"
"183-56-6882","Member","417.564"
"213-32-1216","Normal","416.178"
"433-75-6987","Member","411.3795"
"778-34-2523","Member","408.408"
"726-27-2396","Normal","406.875"
"374-17-3652","Member","404.649"
"115-99-4379","Member","402.2655"
"711-31-1234","Normal","401.688"
"707-32-7409","Member","401.268"
"376-56-3573","Normal","400.764"
"595-27-4851","Normal","398.958"
"173-82-9529","Normal","398.475"
"534-53-3526","Normal","397.992"
"501-61-1753","Normal","397.845"
"749-81-8133","Normal","397.614"
"132-32-9879","Member","394.632"
"559-98-9873","Member","394.3275"
"632-90-0281","Normal","394.275"
"493-65-6248","Member","388.29"
"608-96-3517","Member","384.468"
"299-29-0180","Member","383.523"
"484-22-8230","Member","381.3915"
"533-66-5566","Normal","375.3645"
"420-11-4919","Member","374.7975"
"397-25-8725","Member","374.409"
"889-04-9723","Member","374.388"
"731-14-2199","Member","373.17"
"725-67-2480","Member","370.125"
"468-99-7231","Normal","369.684"
"509-29-3912","Member","365.904"
"692-27-8933","Normal","365.085"
"894-41-5205","Normal","362.712"
"500-02-2261","Normal","360.927"
"244-08-0162","Normal","359.205"
"283-79-9594","Normal","356.5485"
"134-54-4720","Normal","356.328"
"783-09-1637","Normal","354.0075"
"422-29-8786","Normal","352.2225"
"563-47-4072","Normal","351.603"
"490-95-0021","Member","348.705"
"895-03-6665","Normal","345.0195"
"246-11-3901","Normal","344.4"
"642-30-6693","Normal","343.413"
"810-60-6344","Normal","343.224"
"834-25-9262","Normal","343.056"
"815-04-6282","Member","341.0925"
"725-56-0833","Normal","339.36"
"676-39-6028","Member","338.31"
"246-55-6923","Member","338.2155"
"787-56-0757","Member","337.512"
"374-38-5555","Normal","334.4775"
"843-01-4703","Member","334.341"
"477-59-2456","Normal","333.984"
"727-17-0390","Normal","333.9525"
"118-62-1812","Member","329.196"
"443-82-0585","Member","326.256"
"220-68-6701","Normal","325.374"
"563-91-7120","Normal","324.2925"
"588-01-7461","Normal","321.111"
"728-88-7867","Member","317.226"
"685-64-1609","Member","316.47"
"558-60-5016","Normal","314.685"
"153-58-4872","Member","314.538"
"459-45-2396","Member","313.74"
"221-25-5073","Normal","313.572"
"846-10-0341","Normal","312.8895"
"695-09-5146","Member","311.1885"
"370-96-0655","Normal","310.716"
"326-71-2155","Normal","310.59"
"210-67-5886","Member","309.3615"
"647-50-1224","Normal","308.91"
"274-05-5470","Member","308.574"
"308-81-0538","Normal","306.81"
"847-38-7188","Normal","304.542"
"408-66-6712","Member","300.573"
"785-96-0615","Member","300.216"
"189-08-9157","Normal","299.8485"
"263-87-5680","Member","299.565"
"427-45-9297","Member","299.3655"
"319-74-2561","Member","298.116"
"409-49-6995","Member","297.801"
"886-18-2897","Normal","296.94"
"286-01-5402","Normal","295.6905"
"593-65-1552","Normal","293.202"
"458-41-1477","Normal","291.438"
"191-10-6171","Normal","291.207"
"131-70-8179","Member","290.0835"
"725-32-9708","Member","288.582"
"316-01-3952","Normal","284.9175"
"562-12-5430","Member","277.6725"
"641-96-3695","Member","273.798"
"440-59-5691","Member","273.0525"
"211-05-0490","Member","272.58"
"539-21-7227","Normal","270.585"
"592-46-1692","Member","270.2595"
"797-88-0493","Normal","269.934"
"288-38-3758","Member","267.3405"
"345-68-9016","Member","266.028"
"740-22-2500","Normal","264.7575"
"574-80-1489","Member","263.97"
"793-10-3222","Member","258.678"
"864-24-7918","Member","257.145"
"866-05-7563","Member","256.41"
"324-41-6833","Member","253.68"
"541-89-9860","Member","253.512"
"124-31-1458","Member","250.7085"
"110-05-6330","Normal","248.409"
"365-64-0515","Normal","246.4875"
"284-34-9626","Normal","242.676"
"542-41-0513","Member","241.458"
"801-88-0346","Normal","239.589"
"149-14-0304","Member","239.4"
"256-08-8343","Normal","237.426"
"880-35-0356","Member","236.88"
"609-81-8548","Member","235.872"
"151-27-8496","Normal","235.746"
"162-48-8011","Member","234.0975"
"447-15-7839","Member","233.52"
"156-95-3964","Normal","232.638"
"755-12-3214","Member","232.155"
"576-31-4774","Normal","231.2415"
"526-86-8552","Member","229.11"
"218-59-9410","Member","228.123"
"695-28-6250","Normal","226.065"
"420-97-3340","Normal","225.792"
"209-61-0206","Normal","225.2775"
"544-55-9589","Member","225.015"
"226-71-3580","Normal","224.4375"
"717-96-4189","Normal","223.587"
"365-16-4334","Normal","222.012"
"457-12-0244","Member","221.886"
"704-20-4138","Member","218.0745"
"551-21-3069","Normal","218.0115"
"749-24-1565","Normal","217.6335"
"891-58-8335","Member","217.6335"
"291-55-6563","Member","216.846"
"354-39-5160","Member","216.846"
"649-11-3678","Normal","216.6885"
"276-75-6884","Normal","216.4365"
"439-54-7422","Normal","214.998"
"662-72-2873","Normal","214.935"
"608-04-3797","Member","212.688"
"305-03-2383","Normal","211.365"
"257-60-7754","Normal","210.966"
"544-32-5024","Member","209.118"
"831-64-0259","Normal","208.6875"
"438-01-4015","Member","207.858"
"191-29-0321","Member","207.585"
"714-02-3114","Normal","207.48"
"409-33-9708","Normal","206.808"
"510-09-5628","Member","206.43"
"518-17-2983","Normal","204.246"
"126-54-1082","Member","203.553"
"565-17-3836","Member","200.214"
"565-80-5980","Member","198.996"
"282-35-2475","Normal","195.951"
"618-34-8551","Normal","195.678"
"645-78-8093","Normal","195.594"
"339-18-7061","Member","195.258"
"258-69-7810","Normal","193.4625"
"201-86-2184","Member","193.011"
"750-57-9686","Normal","190.596"
"727-46-3608","Member","189.0945"
"381-20-0914","Member","189.0945"
"418-05-0656","Normal","187.866"
"258-92-7466","Normal","187.32"
"745-71-3520","Member","185.367"
"189-17-4241","Normal","184.107"
"271-77-8740","Member","184.086"
"746-68-6593","Member","183.036"
"807-14-7833","Member","182.91"
"214-30-2776","Member","181.0725"
"790-29-1172","Normal","180.621"
"834-45-5519","Normal","180.6"
"788-07-8452","Member","178.164"
"756-93-1854","Member","175.035"
"548-48-3156","Member","175.014"
"485-30-8700","Normal","174.615"
"272-27-9238","Normal","173.208"
"692-92-5582","Member","172.746"
"848-42-2560","Normal","172.011"
"289-65-5721","Normal","170.877"
"870-54-3162","Normal","169.3125"
"340-21-9136","Member","168.21"
"186-71-5196","Member","167.034"
"867-47-1948","Normal","165.9"
"135-13-8269","Member","165.648"
"139-52-2867","Normal","165.4485"
"278-86-2735","Normal","164.871"
"873-51-0671","Member","161.553"
"655-85-5130","Member","160.86"
"767-54-1907","Member","155.19"
"437-58-8131","Normal","154.392"
"236-27-1144","Normal","154.1295"
"510-95-6347","Member","152.838"
"387-49-4215","Member","152.775"
"120-54-2248","Normal","151.515"
"198-66-9832","Member","151.284"
"613-59-9758","Normal","150.78"
"373-14-0504","Member","150.423"
"633-09-3463","Normal","150.0975"
"527-09-6272","Member","149.3625"
"892-05-6689","Normal","148.68"
"459-50-7686","Normal","147.798"
"334-64-2006","Member","147.672"
"423-64-4619","Member","146.9475"
"816-72-8853","Member","146.6325"
"695-51-0018","Normal","146.328"
"595-94-9924","Member","145.5825"
"510-79-0415","Member","145.404"
"734-91-1155","Normal","143.9865"
"585-86-8361","Normal","143.22"
"400-45-1220","Normal","141.75"
"301-11-9629","Normal","140.385"
"700-81-1757","Normal","138.1275"
"767-97-4650","Member","136.143"
"322-02-2271","Normal","135.3555"
"556-97-7101","Normal","132.762"
"101-81-4070","Member","131.922"
"268-20-3585","Normal","130.8825"
"560-30-5617","Normal","130.0425"
"261-12-8671","Normal","128.016"
"148-82-2527","Member","127.26"
"396-90-2219","Normal","125.664"
"372-26-1506","Normal","125.055"
"545-07-8534","Normal","122.472"
"266-76-6436","Member","121.59"
"606-80-4905","Member","120.645"
"848-07-1692","Normal","120.162"
"748-45-2862","Member","118.902"
"487-79-6868","Member","116.1405"
"642-32-2990","Normal","115.08"
"182-52-7000","Member","113.568"
"821-14-9046","Member","110.124"
"756-01-7507","Normal","106.995"
"152-03-4217","Normal","106.596"
"250-81-7186","Normal","104.6745"
"214-17-6927","Normal","103.824"
"233-34-0817","Member","103.782"
"181-82-6255","Normal","103.131"
"241-96-5076","Member","103.11"
"401-18-8016","Member","103.0365"
"137-74-8729","Normal","102.396"
"761-49-0439","Member","101.64"
"602-80-9671","Member","100.485"
"186-43-8965","Member","100.128"
"343-75-9322","Member","99.54"
"182-69-8360","Normal","99.33"
"702-72-0487","Normal","97.881"
"436-54-4512","Member","96.1905"
"573-58-9734","Normal","95.6655"
"210-30-7976","Member","93.744"
"247-11-2470","Member","93.744"
"779-06-0012","Member","93.0405"
"364-33-8584","Member","92.5575"
"569-76-2760","Member","92.442"
"313-66-9943","Member","91.8225"
"280-35-5823","Member","91.056"
"586-25-0848","Normal","90.699"
"848-95-6252","Member","90.5835"
"784-08-0310","Member","88.368"
"186-09-3669","Member","85.5855"
"115-38-7388","Member","85.512"
"679-22-6530","Normal","85.302"
"225-98-1496","Normal","85.113"
"173-50-1108","Member","84.756"
"319-50-3348","Normal","84.63"
"885-17-6250","Normal","83.727"
"512-98-1403","Member","83.412"
"860-73-6466","Member","82.887"
"636-98-3364","Member","82.719"
"172-42-8274","Normal","80.367"
"226-31-3081","Normal","80.22"
"871-39-9221","Normal","78.435"
"556-86-3144","Member","78.0045"
"285-68-5083","Member","77.931"
"339-12-4827","Member","77.658"
"316-68-6352","Member","76.356"
"665-32-9167","Member","76.146"
"359-90-3665","Member","75.936"
"190-14-3147","Normal","75.474"
"616-24-2851","Member","75.054"
"841-18-8232","Normal","74.76"
"870-76-1733","Member","74.7075"
"686-41-0932","Normal","72.87"
"886-54-6089","Normal","72.009"
"232-16-2483","Member","71.526"
"151-33-7434","Normal","71.1585"
"838-78-4295","Normal","70.287"
"346-84-3103","Member","69.405"
"821-07-3596","Normal","69.09"
"305-89-2768","Member","68.985"
"881-41-7302","Normal","68.2395"
"428-83-5800","Member","66.402"
"650-98-6268","Member","65.7405"
"278-97-7759","Member","65.604"
"652-49-6720","Member","63.9975"
"443-60-9639","Member","63.9135"
"351-62-0822","Member","60.816"
"226-34-0034","Normal","57.876"
"790-38-4466","Normal","57.6975"
"587-73-4862","Member","56.1225"
"462-78-5240","Normal","55.881"
"664-14-2882","Member","55.2825"
"471-06-8611","Normal","55.041"
"413-20-6708","Member","54.0435"
"516-77-6464","Member","53.34"
"837-55-7229","Normal","49.812"
"605-03-2706","Normal","49.77"
"169-52-4504","Normal","49.4235"
"318-81-2368","Normal","48.51"
"560-49-6611","Member","47.859"
"687-15-1097","Member","44.352"
"528-87-5606","Member","41.454"
"622-20-1945","Normal","41.391"
"449-27-2918","Member","41.076"
"390-17-5806","Member","40.341"
"320-85-2052","Normal","36.5505"
"479-26-8945","Member","34.629"
"573-98-8548","Member","33.495"
"545-46-3100","Member","33.3585"
"859-71-0933","Member","32.529"
"307-04-2070","Member","32.151"
"488-25-4221","Member","31.9305"
"320-49-6392","Normal","31.752"
"549-23-9016","Member","31.227"
"764-44-8999","Normal","30.996"
"421-95-9805","Normal","30.408"
"883-17-4236","Normal","30.219"
"296-11-7041","Member","28.4235"
"838-02-1821","Member","26.733"
"156-20-0370","Normal","26.7225"
"856-22-8149","Normal","26.5545"
"633-91-1052","Normal","25.263"
"320-32-8842","Member","23.751"
"862-29-5914","Normal","23.499"
"390-80-5128","Member","20.1075"
"382-03-4532","Member","19.2465"
"559-61-5987","Normal","18.6375"
"593-08-5916","Normal","16.275"
"490-29-1201","Normal","16.107"
"279-62-1445","Member","13.167"
"308-39-1707","Normal","12.6945"
