"invoice_id","customer_type","total"
"731-59-7531","Member","609.588"
"575-30-8091","Normal","609.0"
"152-08-9985","Member","608.202"
"886-77-9084","Normal","603.876"
"262-47-2794","Member","603.624"
"339-96-8318","Member","597.6285"
"314-23-4520","Member","597.0405"
"588-47-8641","Member","588.42"
"423-57-2993","Normal","588.357"
"660-29-7083","Normal","586.635"
"541-48-8554","Normal","575.9775"
"166-19-2553","Member","561.078"
"438-23-1242","Normal","557.718"
"541-08-3113","Normal","554.148"
"590-83-4591","Member","550.935"
"645-44-1170","Member","548.7615"
"154-87-7367","Normal","548.184"
"404-91-5964","Normal","548.163"
"157-13-5295","Member","545.37"
"241-72-9525","Normal","545.055"
"785-13-7708","Normal","536.991"
"336-78-2147","Member","536.844"
"370-41-7321","Member","535.7205"
"411-77-0180","Member","530.67"
"186-79-9562","Normal","527.5095"
"815-11-1168","Member","523.845"
"733-01-9107","Normal","521.01"
"552-44-5977","Member","520.8"
"534-01-4457","Normal","514.773"
"105-31-1824","Member","510.972"
"689-05-1884","Member","510.615"
"786-94-2700","Member","507.906"
"532-59-7201","Member","503.559"
"474-33-8305","Member","495.3165"
"704-11-6354","Member","494.76"
"871-79-8483","Normal","494.1825"
"744-02-5987","Member","493.794"
"123-19-1176","Member","489.048"
"142-63-6033","Normal","484.89"
"782-95-9291","Member","484.5225"
"102-77-2261","Member","480.0285"
"577-34-7579","Member","477.1305"
"130-98-8941","Normal","472.311"
"458-10-8612","Normal","470.988"
"760-90-2357","Member","469.413"
"407-63-8975","Normal","465.444"
"263-10-3913","Member","463.428"
"828-61-5674","Member","462.21"
"840-19-2096","Member","461.5275"
"462-67-9126","Normal","461.286"
"765-26-6951","Normal","457.443"
"327-40-9673","Member","457.38"
"468-01-2051","Normal","456.288"
"401-09-4232","Member","455.1225"
"252-56-2699","Normal","453.495"
"405-31-3305","Member","452.865"
"300-71-4605","Member","451.71"
"426-39-2418","Normal","451.3635"
"550-84-8664","Normal","451.0275"
"781-84-8059","Normal","446.439"
"778-89-7974","Normal","442.323"
"845-51-0542","Member","439.8975"
"497-37-6538","Normal","432.9885"
"522-57-8364","Member","431.256"
"503-07-0930","Member","429.1665"
"472-15-9636","Normal","427.812"
"139-20-0155","Member","423.15"
"316-55-4634","Member","420.2625"
"659-36-1684","Member","419.832"
"548-46-9322","Normal","418.95"
"200-40-6154","Member","415.233"
"276-54-0879","Normal","410.508"
"733-29-1227","Normal","408.7335"
"210-74-9613","Normal","408.492"
"595-86-2894","Member","407.316"
"266-20-6657","Member","404.544"
"566-71-1091","Normal","404.355"
"869-11-3082","Member","403.872"
"362-58-8315","Normal","401.73"
"530-90-9855","Member","399.756"
"369-82-2676","Normal","397.215"
"719-76-3868","Member","395.892"
"603-07-0961","Member","392.6475"
"630-74-5166","Normal","391.419"
"658-66-3967","Normal","390.9465"
"269-10-8440","Member","390.7995"
"775-72-1988","Normal","384.72"
"198-84-7132","Member","383.7645"
"834-61-8124","Normal","379.9215"
"600-38-9738","Member","377.58"
"662-47-5456","Member","369.495"
"249-42-3782","Normal","367.5525"
"212-62-1842","Normal","367.038"
"633-44-8566","Member","362.943"
"234-36-2483","Normal","362.817"
"701-69-8742","Normal","360.885"
"505-02-0892","Member","357.588"
"741-73-3559","Normal","353.1675"
"598-47-9715","Normal","353.094"
"149-15-7606","Member","352.674"
"566-19-5475","Normal","352.5795"
"803-83-5989","Normal","351.099"
"498-41-1961","Normal","350.07"
"257-73-1380","Member","348.306"
"289-15-7034","Member","345.786"
"631-41-3108","Normal","340.5255"
"101-17-6199","Normal","336.5565"
"311-13-6971","Member","335.895"
"460-93-5834","Normal","335.013"
"608-27-6295","Member","333.207"
"146-09-5432","Member","331.128"
"129-29-8530","Member","328.755"
"799-71-1548","Member","326.424"
"434-83-9547","Member","323.148"
"796-32-9050","Normal","323.064"
"291-21-5991","Member","321.7725"
"827-26-2100","Member","319.788"
"853-23-2453","Member","318.108"
"811-35-1094","Member","317.835"
"420-04-7590","Normal","314.055"
"269-04-5750","Member","310.044"
"130-67-4723","Member","305.55"
"364-34-2972","Member","304.983"
"585-11-6748","Member","304.92"
"144-51-6085","Member","297.108"
"804-38-3935","Member","295.407"
"689-16-9784","Normal","294.651"
"789-23-8625","Member","293.643"
"302-15-2162","Member","293.139"
"235-46-8343","Member","290.43"
"430-02-3888","Normal","289.926"
"824-88-3614","Normal","288.204"
"425-85-2085","Member","288.015"
"400-80-4065","Member","287.91"
"239-36-3640","Normal","285.705"
"832-51-6761","Normal","284.592"
"597-78-7908","Normal","284.193"
"556-41-6224","Normal","282.576"
"882-40-4577","Member","282.492"
"670-71-7306","Normal","281.169"
"343-61-3544","Member","280.035"
"720-72-2436","Normal","279.384"
"549-59-1358","Member","279.1845"
"568-90-5112","Normal","277.788"
"371-85-5789","Normal","277.137"
"380-94-4661","Member","276.948"
"468-88-0009","Member","276.948"
"342-65-4817","Member","273.42"
"238-49-0436","Normal","272.664"
"875-46-5808","Member","271.95"
"448-34-8700","Member","271.2885"
"852-82-2749","Normal","271.278"
"235-06-8510","Member","270.018"
"470-32-9057","Member","269.535"
"449-16-6770","Normal","266.6475"
"382-25-8917","Normal","265.104"
"307-85-2293","Normal","263.97"
"217-58-1179","Member","263.13"
"636-17-0325","Normal","262.794"
"712-39-0363","Member","262.458"
"826-58-8051","Normal","261.198"
"740-11-5257","Normal","259.77"
"360-39-5055","Member","256.7775"
"195-06-0432","Member","255.1815"
"565-67-6697","Member","255.15"
"584-86-7256","Member","254.016"
"458-61-0011","Normal","253.26"
"777-82-7220","Member","253.008"
"133-77-3154","Member","252.756"
"531-56-4728","Normal","252.252"
"307-83-9164","Member","252.042"
"182-88-2763","Member","251.7165"
"728-47-9078","Member","250.278"
"888-02-0338","Normal","247.8735"
"190-59-3964","Member","247.59"
"655-07-2265","Normal","246.6765"
"809-46-1866","Normal","244.23"
"857-67-9057","Normal","240.975"
"540-11-4336","Normal","235.683"
"848-62-7243","Normal","235.2105"
"554-53-3790","Normal","233.226"
"787-87-2010","Member","233.1"
"716-39-1409","Normal","223.0725"
"366-43-6862","Normal","222.138"
"777-67-2495","Normal","217.2555"
"127-47-6963","Normal","217.182"
"730-61-8757","Member","214.746"
"345-08-4992","Normal","214.137"
"301-81-8610","Member","213.528"
"610-46-4100","Normal","212.7825"
"639-76-1242","Normal","212.73"
"437-53-3084","Normal","209.769"
"446-47-6729","Normal","209.622"
"471-41-2823","Normal","209.559"
"174-36-3675","Member","208.677"
"514-37-2845","Normal","208.425"
"868-81-1752","Normal","208.089"
"521-18-7827","Member","206.7975"
"502-05-1910","Normal","205.317"
"558-80-4082","Normal","204.6975"
"174-75-0888","Normal","203.931"
"254-31-0042","Member","203.175"
"726-29-6793","Member","203.112"
"595-11-5460","Normal","202.818"
"288-62-1085","Member","202.335"
"375-72-3056","Normal","198.639"
"250-17-5703","Member","197.925"
"642-61-4706","Member","196.14"
"142-72-4741","Member","195.72"
"732-04-5373","Member","195.174"
"674-15-9296","Normal","194.985"
"651-61-0874","Normal","194.124"
"509-10-0516","Normal","193.074"
"120-06-4233","Normal","192.843"
"531-80-1784","Normal","191.247"
"704-10-4056","Member","190.4805"
"585-03-5943","Normal","190.155"
"373-88-1424","Member","188.0025"
"175-54-2529","Member","186.228"
"787-15-1757","Member","185.094"
"690-01-6631","Normal","183.645"
"629-42-4133","Normal","183.12"
"706-36-6154","Member","182.952"
"873-14-6353","Member","182.427"
"779-42-2410","Member","181.881"
"346-12-3257","Member","181.818"
"636-48-8204","Normal","181.44"
"744-82-9138","Normal","180.873"
"747-58-7183","Normal","180.4005"
"770-42-8960","Normal","177.408"
"859-97-6048","Member","176.925"
"635-28-5728","Normal","176.4"
"589-02-8023","Member","175.917"
"242-11-3142","Member","175.917"
"733-33-4967","Normal","175.14"
"442-44-6497","Member","175.0455"
"699-01-4164","Normal","174.3"
"628-34-3388","Normal","172.494"
"329-62-1586","Normal","172.2105"
"831-07-6050","Normal","171.7275"
"856-66-2701","Member","167.895"
"518-71-6847","Member","167.58"
"877-22-3308","Member","166.635"
"414-12-7047","Normal","166.236"
"865-92-6136","Normal","166.1625"
"199-75-8169","Member","166.005"
"665-63-9737","Normal","165.123"
"286-62-6248","Normal","164.682"
"152-68-2907","Normal","164.43"
"497-36-0989","Normal","163.611"
"729-09-9681","Member","163.233"
"701-23-5550","Member","163.002"
"851-28-6367","Member","162.75"
"480-63-2856","Normal","161.7"
"423-80-0988","Normal","160.44"
"287-83-1405","Normal","160.209"
"795-49-7276","Normal","156.03"
"583-72-1480","Member","155.652"
"173-57-2300","Member","153.048"
"340-66-0321","Member","152.712"
"355-34-6244","Normal","152.019"
"378-07-7001","Member","151.4835"
"715-20-1673","Normal","148.995"
"808-65-0703","Normal","148.974"
"656-16-1063","Normal","146.223"
"207-73-1363","Normal","145.971"
"620-02-2046","Normal","145.74"
"181-94-6432","Member","145.593"
"286-75-7818","Normal","145.068"
"751-15-6198","Normal","144.963"
"453-12-7053","Normal","144.081"
"788-21-5741","Normal","142.947"
"134-75-2619","Member","142.002"
"150-89-8043","Normal","140.6475"
"399-69-4630","Normal","139.923"
"776-68-1096","Normal","138.978"
"744-09-5786","Normal","138.663"
"200-16-5952","Member","137.865"
"110-48-7033","Member","137.004"
"746-54-5508","Normal","135.576"
"151-16-1484","Member","135.45"
"596-42-3999","Normal","133.917"
"592-34-6155","Normal","133.434"
"830-58-2383","Normal","133.35"
"102-06-2002","Member","132.5625"
"133-14-7229","Normal","132.027"
"760-27-5490","Normal","131.208"
"760-53-9233","Member","130.032"
"760-54-1821","Normal","128.4255"
"816-57-2053","Normal","127.827"
"842-29-4695","Member","125.979"
"503-21-4385","Member","125.7165"
"339-38-9982","Member","125.706"
"448-81-5016","Normal","125.517"
"583-41-4548","Normal","122.5245"
"745-74-0715","Normal","121.863"
"349-97-8902","Member","121.569"
"727-75-6477","Normal","121.128"
"669-54-1719","Member","119.259"
"243-47-2663","Member","118.251"
"356-44-8813","Normal","118.062"
"554-53-8700","Member","117.831"
"794-32-2436","Member","116.907"
"291-32-1427","Member","115.185"
"378-24-2715","Normal","112.224"
"132-23-6451","Member","110.0925"
"641-43-2399","Normal","107.31"
"529-56-3974","Member","107.142"
"176-78-1170","Member","106.5015"
"883-69-1285","Member","104.832"
"634-97-8956","Normal","103.635"
"643-38-7867","Normal","102.837"
"594-34-4444","Normal","102.018"
"176-64-7711","Normal","101.808"
"268-03-6164","Normal","100.9155"
"674-56-6360","Normal","99.9075"
"290-68-2984","Normal","99.75"
"875-31-8302","Normal","98.049"
"434-35-9162","Member","98.028"
"737-88-5876","Member","97.818"
"359-94-5395","Normal","97.419"
"460-35-4390","Normal","96.642"
"256-58-3609","Member","96.579"
"372-94-8041","Normal","96.138"
"598-06-7312","Member","95.9175"
"528-14-9470","Member","95.865"
"512-91-0811","Normal","94.2375"
"604-70-6476","Member","94.185"
"478-06-7835","Normal","94.1745"
"394-43-4238","Member","93.2925"
"106-35-6779","Member","93.114"
"511-54-3087","Normal","92.8725"
"321-49-7382","Member","92.7255"
"325-89-4209","Member","92.295"
"848-24-9445","Member","91.77"
"450-28-2866","Member","91.56"
"211-30-9270","Normal","91.4025"
"574-57-9721","Normal","90.867"
"213-72-6612","Normal","90.825"
"565-91-4567","Normal","90.3"
"451-73-2711","Normal","89.0715"
"237-44-6163","Normal","88.704"
"219-61-4139","Normal","87.234"
"187-83-5490","Member","87.234"
"453-63-6187","Normal","86.625"
"388-76-2555","Normal","86.247"
"390-31-6381","Normal","85.743"
"284-54-4231","Member","84.9765"
"865-41-9075","Normal","84.7455"
"696-90-2548","Normal","81.396"
"445-30-9252","Normal","80.955"
"563-36-9814","Member","80.661"
"343-87-0864","Member","79.674"
"525-88-7307","Member","79.611"
"546-80-2899","Member","79.149"
"578-80-7669","Normal","78.7185"
"593-95-4461","Member","78.603"
"843-73-4724","Normal","77.805"
"400-60-7251","Normal","77.7735"
"277-63-2961","Member","77.6685"
"835-16-0096","Member","77.175"
"585-90-0249","Member","76.923"
"227-50-3718","Normal","76.755"
"631-34-1880","Member","76.5765"
"279-74-2924","Member","75.7785"
"441-94-7118","Member","75.5475"
"239-48-4278","Member","74.4555"
"333-23-2632","Member","74.088"
"220-28-1851","Normal","72.933"
"162-65-8559","Member","72.429"
"732-67-5346","Normal","72.3975"
"549-96-4200","Member","71.568"
"794-42-3736","Normal","69.993"
"273-16-6619","Normal","69.72"
"366-93-0948","Member","69.6675"
"347-56-2442","Normal","69.111"
"275-28-0149","Normal","66.8745"
"291-59-1384","Normal","63.315"
"273-84-2164","Member","63.2625"
"389-25-3394","Normal","62.0025"
"584-66-4073","Normal","59.325"
"491-38-3499","Member","58.2225"
"154-74-7179","Normal","57.1725"
"605-83-1050","Normal","57.078"
"895-66-0685","Member","56.952"
"676-10-2200","Member","56.469"
"238-45-6950","Member","56.406"
"807-34-3742","Normal","54.999"
"885-56-0389","Member","54.9675"
"659-65-8956","Member","53.928"
"825-94-5922","Normal","53.151"
"163-56-7055","Member","51.1455"
"735-06-4124","Normal","51.0405"
"442-48-3607","Member","49.308"
"651-96-5970","Normal","48.7305"
"470-31-3286","Normal","46.683"
"569-71-4390","Normal","45.927"
"105-10-6182","Member","45.108"
"722-13-2115","Member","44.9925"
"504-35-8843","Normal","44.5935"
"324-92-3863","Member","43.869"
"233-67-5758","Normal","42.3675"
"608-05-3804","Member","41.7375"
"573-10-3877","Member","40.9605"
"575-67-1508","Normal","40.53"
"523-38-0215","Normal","38.85"
"729-46-7422","Normal","37.6845"
"482-17-1179","Member","37.611"
"574-31-8277","Member","35.3115"
"649-29-6775","Normal","35.196"
"242-55-6721","Normal","33.936"
"727-02-1313","Member","33.432"
"617-15-4209","Member","32.277"
"318-12-0304","Normal","32.1405"
"840-76-5966","Member","26.796"
"568-88-3448","Normal","26.25"
"556-72-8512","Normal","24.108"
"746-19-0921","Normal","22.659"
"896-34-0956","Normal","22.386"
"756-49-0168","Member","20.685"
"802-43-8934","Normal","19.194"
"489-64-4354","Normal","17.094"
"778-71-5554","Member","16.2015"
"236-86-3015","Member","14.679"
"192-98-7397","Normal","13.419"
"784-21-9238","Member","10.6785"
