"invoice_id","product_line","unit_price","datas","times"
"794-42-3736","Food and beverages","33.33","1/26/2019","14:41"
"490-95-0021","Food and beverages","33.21","1/8/2019","14:25"
"634-97-8956","Food and beverages","32.9","2/17/2019","17:27"
"176-64-7711","Food and beverages","32.32","3/27/2019","19:11"
"727-02-1313","Food and beverages","31.84","2/9/2019","13:22"
"592-34-6155","Food and beverages","31.77","1/14/2019","14:43"
"488-25-4221","Food and beverages","30.41","2/22/2019","10:36"
"313-66-9943","Food and beverages","29.15","3/27/2019","20:29"
"120-54-2248","Food and beverages","28.86","1/22/2019","18:08"
"235-46-8343","Food and beverages","27.66","2/14/2019","11:26"
"585-86-8361","Food and beverages","27.28","2/3/2019","10:31"
"390-31-6381","Food and beverages","27.22","1/7/2019","12:37"
"518-71-6847","Food and beverages","26.6","2/26/2019","15:10"
"365-16-4334","Food and beverages","26.43","2/24/2019","14:26"
"540-11-4336","Food and beverages","24.94","1/11/2019","16:49"
"873-14-6353","Food and beverages","24.82","2/16/2019","10:33"
"631-34-1880","Food and beverages","24.31","1/8/2019","19:09"
"442-48-3607","Food and beverages","23.48","3/14/2019","11:21"
"434-35-9162","Food and beverages","23.34","2/4/2019","18:53"
"649-11-3678","Food and beverages","22.93","2/26/2019","20:26"
"320-32-8842","Food and beverages","22.62","3/17/2019","18:58"
"175-54-2529","Food and beverages","22.17","3/3/2019","17:01"
"746-19-0921","Food and beverages","21.58","2/9/2019","10:02"
"770-42-8960","Food and beverages","21.12","1/1/2019","19:31"
"428-83-5800","Food and beverages","21.08","2/9/2019","10:25"
"784-08-0310","Food and beverages","21.04","1/13/2019","13:58"
"650-98-6268","Food and beverages","20.87","3/20/2019","13:53"
"727-46-3608","Food and beverages","20.01","2/6/2019","15:47"
"414-12-7047","Food and beverages","19.79","1/18/2019","12:04"
"480-63-2856","Food and beverages","19.25","1/23/2019","18:37"
"250-17-5703","Food and beverages","18.85","2/27/2019","18:24"
"596-42-3999","Food and beverages","18.22","3/10/2019","14:04"
"895-66-0685","Food and beverages","18.08","3/5/2019","19:46"
"364-33-8584","Food and beverages","17.63","3/8/2019","15:27"
"450-28-2866","Food and beverages","17.44","1/15/2019","19:25"
"549-96-4200","Food and beverages","17.04","3/8/2019","20:15"
"214-17-6927","Food and beverages","16.48","2/7/2019","18:23"
"236-27-1144","Food and beverages","16.31","3/26/2019","10:31"
"549-23-9016","Food and beverages","14.87","2/13/2019","18:15"
"870-76-1733","Food and beverages","14.23","2/1/2019","10:08"
"732-67-5346","Food and beverages","13.79","1/11/2019","19:07"
"865-41-9075","Food and beverages","11.53","1/28/2019","17:35"
"642-32-2990","Food and beverages","10.96","2/2/2019","20:48"
"239-48-4278","Food and beverages","10.13","3/10/2019","19:35"
